first_name,last_name,dob,company_name,last_active,score,member_since,state,source
Hayden,Carter,1968/09/23,Mcdonald Inc,2018/03/30,69,2005,OK,Golf
Monica,Weaver,1977/12/23,Peterson and Sons,2018/09/19,84,1994,DE,Golf
Travis,Brown,1986/11/20,,2018/01/25,30,2000,DC,Golf
Timothy,Garcia,1963/07/12,"Hopkins, Barnes and Ward",2018/08/16,97,1980,IA,Golf
Christopher,Stout,1968/10/08,"Brown, Vasquez and Sanchez",2018/09/01,56,1995,KS,Golf
Melissa,Stewart,1983/04/24,Parker Group,2018/12/22,74,1998,AK,Golf
Richard,Santiago,1974/08/08,Bruce Inc,2018/11/28,43,1989,WI,Golf
Lauren,Stone,1985/10/19,"Brown, Vasquez and Sanchez",2018/07/14,48,2003,MD,Golf
Louis,Davis,1959/01/15,Hunter Ltd,2018/04/15,91,1972,TX,Golf
Dakota,Jenkins,1966/02/08,Rivera Ltd,2018/08/21,42,2001,NY,Golf
Steven,Sanchez,1961/10/04,Bruce Inc,2018/03/13,69,2010,SC,Golf
Anna,Quinn,1980/05/05,"Alvarez, Schaefer and Robertson",2018/06/20,89,2001,MT,Golf
Joe,Fisher,1989/07/21,Williams-Stephenson,2018/07/07,91,2012,TN,Golf
Seth,Knight,1966/05/24,"Martin, Mcknight and Clark",2018/08/26,69,2008,NC,Golf
Jonathan,Andersen,1965/07/06,Bruce Inc,2018/12/28,33,2015,RI,Golf
Rachel,Edwards,1998/01/07,,2018/11/08,98,2018,LA,Golf
Charles,Turner,1964/06/15,Parker Group,2018/06/07,94,1999,SD,Golf
William,Baker,1986/01/31,Hunter Ltd,2018/03/11,30,2004,RI,Golf
Elizabeth,Walter,1970/02/24,Peterson and Sons,2018/11/06,58,2004,UT,Golf
Ellen,Evans,1984/02/14,"Alvarez, Schaefer and Robertson",2018/09/30,81,2010,AK,Golf
Eugene,Smith,1985/02/22,"Mullen, Huffman and Vasquez",2018/05/06,37,2011,ID,Golf
Melanie,Williams,1990/08/28,Williams-Stephenson,2018/06/14,40,2008,LA,Golf
Nicholas,Hanson,1977/02/15,Mcdonald Inc,2018/11/10,47,1990,IN,Golf
Deborah,Soto,1981/08/14,"Brown, Vasquez and Sanchez",2018/12/01,54,1996,AZ,Golf
Stanley,Blanchard,1977/01/16,Peterson and Sons,2018/03/08,87,1998,PA,Golf
Andrea,Brown,1992/04/27,"Brown, Vasquez and Sanchez",2018/05/30,87,2012,MN,Golf
Michelle,Sandoval,1968/05/07,Pearson Group,2019/01/02,94,1990,FL,Golf
Judy,Williams,1976/06/20,Rivera Ltd,2018/06/09,66,1990,NV,Golf
Jessica,Downs,1970/03/10,"Mullen, Huffman and Vasquez",2018/09/25,95,1991,MO,Golf
Crystal,Bryan,1964/05/01,Keller Group,2018/10/09,52,1996,NV,Golf
Marc,Mejia,1969/03/11,Hunter Ltd,2018/04/14,82,1994,NE,Golf
Alyssa,Martinez,1984/06/30,Rivera Ltd,2018/05/28,58,2016,MD,Golf
Danny,Copeland,1975/05/12,Rivera Ltd,2018/04/02,71,2011,NM,Golf
Daniel,Johnson,1966/04/09,Parker Group,2018/02/20,55,1997,NE,Golf
Teresa,Garcia,1975/07/09,Mcdonald Inc,2018/03/09,74,2007,AL,Golf
Elizabeth,Jones,1977/04/02,Parker Group,2018/09/18,75,1992,MT,Golf
Margaret,Freeman,1967/11/16,"Smith, Torres and Matthews",2018/06/14,56,1992,ND,Golf
Michael,Cordova,1961/04/14,Williams-Stephenson,2018/12/08,81,1975,RI,Golf
Jacqueline,Wilson,1982/01/19,Mcdonald Inc,2018/02/25,69,1997,MT,Golf
Cassandra,Jones,1986/03/08,"Hopkins, Barnes and Ward",2018/12/24,38,2009,DC,Golf
Tony,Woods,1966/12/23,Rivera Ltd,2018/09/05,64,1992,SC,Golf
Joseph,Chen,1960/04/23,Hunter Ltd,2018/11/13,67,2014,WI,Golf
Catherine,Adkins,1966/03/26,"Jackson, Carlson and Contreras",2018/08/10,65,2012,VT,Golf
Francisco,Vasquez,1992/12/13,Rivera Ltd,2018/12/26,55,2015,NM,Golf
Victor,Williams,1984/03/06,"Jackson, Carlson and Contreras",2018/08/03,69,2018,WY,Golf
William,Reid,1964/03/06,"Martin, Mcknight and Clark",2018/12/27,72,1996,WI,Golf
Samantha,Reed,1989/01/28,Bruce Inc,2018/12/07,93,2014,DC,Golf
Lindsey,Morris,1969/08/01,Williams-Stephenson,2018/10/03,70,2010,MA,Golf
Hannah,Robinson,1982/04/24,Pearson Group,2018/09/19,83,1999,DE,Golf
Jennifer,Thompson,1985/11/16,Hunter Ltd,2018/06/15,75,2008,CT,Golf
Tammy,Jones,1973/01/24,"Alvarez, Schaefer and Robertson",2018/11/30,70,2010,LA,Golf
Theresa,Stark,1959/10/22,"Alvarez, Schaefer and Robertson",2018/03/29,33,2002,MS,Golf
Shelly,Torres,1969/03/31,"Hopkins, Barnes and Ward",2018/11/29,46,2011,MA,Golf
Brooke,Mason,1966/07/18,Rivera Ltd,2018/02/24,36,2011,NC,Golf
Denise,Peters,1970/08/14,Peterson and Sons,2018/03/07,48,2008,NM,Golf
Lori,Ward,1976/08/04,Rivera Ltd,2018/09/27,57,2006,NE,Golf
Diana,Farrell,1973/08/14,Parker Group,2018/05/14,87,1995,ME,Golf
Christopher,Jones,1974/05/17,"Smith, Torres and Matthews",2018/06/10,67,2013,MD,Golf
Patricia,King,1980/10/25,Bruce Inc,2018/03/30,45,2009,CA,Golf
Justin,Nguyen,1995/10/11,Pearson Group,2018/06/02,93,2008,WY,Golf
Jennifer,Mitchell,1963/01/20,Peterson and Sons,2018/05/27,32,2009,ND,Golf
Christian,Grimes,1988/01/20,"Smith, Torres and Matthews",2018/06/22,94,2009,MD,Golf
James,Hart,1966/10/14,Parker Group,2018/07/25,49,1999,DE,Golf
David,Martin,1984/06/23,"Smith, Torres and Matthews",2018/07/21,44,1999,DE,Golf
Terri,White,1968/09/02,"Martin, Mcknight and Clark",2018/01/12,84,1987,UT,Golf
Luis,Nelson,1961/08/07,"Mullen, Huffman and Vasquez",2018/02/09,38,2005,CA,Golf
Amanda,Smith,1972/06/16,Rivera-Morrow,2018/04/29,71,2003,UT,Golf
Tina,Torres,1977/04/02,Scott and Sons,2018/08/18,62,2008,PA,Golf
Michael,Russell,1994/07/22,"Alvarez, Schaefer and Robertson",2018/12/23,90,2011,AL,Golf
Robert,Williams,1959/10/31,Scott and Sons,2018/05/15,85,2004,DC,Golf
Nina,Baldwin,1989/10/13,"Martin, Mcknight and Clark",2018/02/03,94,2008,MI,Golf
Jasmine,Beasley,1959/04/29,Taylor-Alvarez,2018/05/29,66,2015,CA,Golf
Teresa,Stevens,1972/04/29,Hunter Ltd,2018/06/21,73,2010,OR,Golf
Danielle,Reynolds,1971/07/09,"Smith, Torres and Matthews",2018/02/26,35,1993,TX,Golf
Paige,Carroll,1972/06/30,Rivera Ltd,2018/02/18,78,2000,NJ,Golf
Carol,Holder,1987/06/07,"Kelley, Gilbert and Jackson",2018/04/26,31,2005,IL,Golf
Andrew,Miller,1977/12/25,Rivera-Morrow,2018/10/31,89,1990,IL,Golf
Derek,Wood,1960/09/21,Hunter Ltd,2018/05/05,90,1991,ME,Golf
Joshua,Green,1965/04/04,Keller Group,2018/05/16,43,2017,UT,Golf
Phillip,Nicholson,1963/12/09,Pearson Group,2018/04/06,77,1992,TN,Golf
Emily,Watson,1988/08/02,"Alvarez, Schaefer and Robertson",2018/05/24,36,2013,OH,Golf
Edgar,Hernandez,1995/10/20,Parker Group,2018/01/11,96,2015,UT,Golf
Michael,Collins,1996/01/21,"Kelley, Gilbert and Jackson",2018/02/18,61,2008,IN,Golf
Stephanie,Holland,1965/02/28,"Mullen, Huffman and Vasquez",2018/06/07,40,1995,DE,Golf
Sarah,Johnson,1963/01/02,Rivera-Morrow,2018/03/15,80,1976,OH,Golf
Hannah,Davis,1970/06/03,Scott and Sons,2018/10/04,41,1997,MO,Golf
John,Lane,1971/08/27,"Martin, Mcknight and Clark",2018/05/07,39,2004,NM,Golf
Sara,Gibson,1983/11/16,Rivera-Morrow,2018/03/22,34,1996,CT,Golf
Leslie,Mcgrath,1975/06/19,,2018/03/17,89,2006,IL,Golf
Monica,Hull,1973/07/08,Peterson and Sons,2018/03/18,70,1990,OK,Golf
Rachel,Webster,1979/12/08,Keller Group,2018/10/19,47,1998,ME,Golf
Shawn,Jacobs,1982/02/08,"Jackson, Carlson and Contreras",2018/03/13,69,1996,DC,Golf
Deanna,Mays,1980/02/26,Pearson Group,2018/12/21,33,1995,SD,Golf
Karla,Clark,1964/10/06,Rivera Ltd,2018/11/13,40,2004,MA,Golf
Shane,Bryant,1974/05/07,Rivera Ltd,2018/01/09,35,1990,MO,Golf
Anita,Cook,1971/04/09,"Jackson, Carlson and Contreras",2018/08/20,49,2003,CO,Golf
Rebecca,Johnson,1971/08/02,Williams-Stephenson,2018/02/25,88,1988,MA,Golf
Brandi,Rogers,1966/09/03,Hunter Ltd,2018/06/04,44,2009,MI,Golf
Kimberly,Simmons,1976/12/19,Pearson Group,2018/01/13,37,2002,MO,Golf
Henry,Jones,1966/10/21,Pearson Group,2018/07/02,59,2000,TX,Golf
Stephen,Turner,1968/10/26,Mcdonald Inc,2018/02/08,63,1989,ME,Golf
Stephanie,Aguirre,1981/04/02,"Brown, Vasquez and Sanchez",2018/04/18,87,1996,NJ,Golf
Adam,Nguyen,1985/05/26,Pearson Group,2018/10/04,74,2008,OR,Golf
Ashley,Delgado,1977/07/13,"Mullen, Huffman and Vasquez",2018/09/02,97,2003,MS,Golf
Kelly,Nguyen,1970/10/11,Scott and Sons,2018/02/01,81,1983,MO,Golf
Kari,Roberts,1965/12/29,"Kelley, Gilbert and Jackson",2018/07/06,30,1979,KY,Golf
Bryan,Richardson,1982/12/15,"Jackson, Carlson and Contreras",2018/05/13,69,2000,DE,Golf
Rick,Tyler,1994/07/26,"Jackson, Carlson and Contreras",2018/03/14,34,2017,NY,Golf
Michael,Sullivan,1961/12/21,"Mullen, Huffman and Vasquez",2018/05/17,85,2011,WA,Golf
Lisa,Thomas,1991/06/20,Keller Group,2018/08/02,35,2018,ID,Golf
Catherine,Bond,1974/06/06,Williams-Stephenson,2018/03/21,99,2010,MO,Golf
Bethany,Marshall,1996/04/17,Peterson and Sons,2018/03/10,85,2015,OH,Golf
Katie,Knight,1978/05/16,Taylor-Alvarez,2018/09/16,72,2017,CT,Golf
Angela,Elliott,1977/05/21,Rivera-Morrow,2018/06/25,84,2011,FL,Golf
Lisa,Christensen,1998/04/25,Scott and Sons,2018/07/13,59,2017,SD,Golf
Jean,Sosa,1992/07/02,"Brown, Vasquez and Sanchez",2018/09/20,55,2014,CA,Golf
Anthony,Gordon,1961/11/02,Hunter Ltd,2018/10/07,35,1980,NY,Golf
Jerry,Owens,1969/06/26,Hunter Ltd,2018/11/27,41,2001,WY,Golf
Christopher,Johnson,1993/07/06,Mcdonald Inc,2018/03/30,77,2012,NV,Golf
Crystal,Sherman,1962/02/14,"Kelley, Gilbert and Jackson",2018/01/15,65,2018,HI,Golf
Charles,Griffin,1969/10/25,"Alvarez, Schaefer and Robertson",2018/03/09,35,2001,IL,Golf
Kevin,Montes,1973/08/06,Rivera Ltd,2018/08/30,46,2016,MT,Golf
David,Moran,1984/09/30,"Jackson, Carlson and Contreras",2018/06/19,97,2014,LA,Golf
Nicole,Le,1984/04/11,Bruce Inc,2018/12/01,71,2017,CO,Golf
Susan,Morse,1972/02/28,Parker Group,2018/03/04,45,2002,MN,Golf
Ronald,Johnson,1982/01/03,Scott and Sons,2018/08/07,32,2015,KY,Golf
James,Lee,1967/09/11,Rivera-Morrow,2018/04/30,96,1986,HI,Golf
Christine,Roberts,1973/06/19,Keller Group,2018/08/20,55,1990,CO,Golf
Jacqueline,Wilson,1988/10/04,Parker Group,2018/05/08,47,2004,GA,Golf
William,Gonzalez,1984/05/02,Pearson Group,2018/03/23,53,2005,IL,Golf
Steven,Spencer,1965/10/28,Parker Group,2018/04/18,77,1998,NY,Golf
Joanna,Edwards,1995/10/11,Peterson and Sons,2018/07/04,64,2015,CT,Golf
Eduardo,Barnett,1963/02/15,"Kelley, Gilbert and Jackson",2018/01/22,57,2008,AK,Golf
Susan,Munoz,1979/06/29,Taylor-Alvarez,2018/07/26,48,2008,TX,Golf
Jonathan,Golden,1964/02/08,"Brown, Vasquez and Sanchez",2018/02/11,56,2005,MN,Golf
Katherine,Horton,1984/03/28,"Brown, Vasquez and Sanchez",2018/02/12,54,2016,MO,Golf
Paul,Diaz,1961/01/02,Bruce Inc,2018/01/21,83,2016,IA,Golf
Robert,Potts,1983/11/16,Rivera Ltd,2018/09/17,91,2011,TX,Golf
Ashley,Burton,1985/11/05,"Hopkins, Barnes and Ward",2018/12/18,91,2001,KY,Golf
Stephanie,Duncan,1962/05/18,"Brown, Vasquez and Sanchez",2018/02/27,62,1987,IL,Golf
David,Singh,1961/07/16,Taylor-Alvarez,2018/05/02,93,1992,SC,Golf
Ashley,Valentine,1960/10/08,"Hopkins, Barnes and Ward",2018/01/18,65,2002,IN,Golf
Christopher,Rodriguez,1976/10/20,,2018/12/02,99,1992,CA,Golf
Lisa,Stewart,1969/06/11,Pearson Group,2018/12/14,76,2011,MI,Golf
Lisa,Craig,1975/07/13,Mcdonald Inc,2018/11/24,38,1992,NV,Golf
Jennifer,Brown,1965/10/29,Taylor-Alvarez,2018/12/12,39,1998,MI,Golf
Mary,George,1977/10/02,Mcdonald Inc,2018/12/13,99,2014,OH,Golf
Steven,Campbell,1966/09/12,"Jackson, Carlson and Contreras",2018/01/14,70,2010,PA,Golf
Laura,Erickson,1959/02/01,Rivera Ltd,2018/09/07,53,1993,ME,Golf
Randy,Jones,1975/07/07,"Kelley, Gilbert and Jackson",2018/12/16,30,2004,SD,Golf
Christian,Cruz,1964/06/12,"Martin, Mcknight and Clark",2018/03/29,66,1992,HI,Golf
John,Lee,1996/10/25,Parker Group,2018/02/19,77,2016,ME,Golf
Sara,Holloway,1961/10/29,Hunter Ltd,2018/11/12,58,1978,RI,Golf
Douglas,Dillon,1986/05/19,"Smith, Torres and Matthews",2018/02/19,75,2004,PA,Golf
Terri,Livingston,1966/12/29,,2018/08/20,66,2011,PA,Golf
John,Mitchell,1963/05/04,"Kelley, Gilbert and Jackson",2018/09/25,30,2016,PA,Golf
Danielle,Lin,1989/10/25,"Alvarez, Schaefer and Robertson",2018/10/25,60,2005,RI,Golf
Chase,Larson,1959/04/01,Pearson Group,2018/08/06,44,1983,UT,Golf
Marc,Lucas,1992/10/12,"Hopkins, Barnes and Ward",2018/09/08,61,2015,IL,Golf
Barbara,Peterson,1965/10/24,"Hopkins, Barnes and Ward",2018/02/18,77,1981,OR,Golf
Melissa,Clark,1980/09/20,"Brown, Vasquez and Sanchez",2018/05/04,95,2001,AZ,Golf
William,Romero,1967/08/24,Scott and Sons,2018/02/19,71,1998,MD,Golf
Anna,Dyer,1976/10/01,"Alvarez, Schaefer and Robertson",2018/01/20,69,2018,TN,Golf
Kenneth,Miller,1993/01/22,Scott and Sons,2018/02/19,90,2017,WY,Golf
Kimberly,Gomez,1959/08/09,Rivera-Morrow,2018/05/07,45,1973,KY,Golf
Douglas,Graham,1961/07/22,Pearson Group,2018/02/18,76,2007,AZ,Golf
Charles,Johnston,1969/01/07,"Hopkins, Barnes and Ward",2018/04/10,45,2018,AL,Golf
Nicole,Duarte,1984/06/29,Hunter Ltd,2018/03/13,65,2017,MS,Golf
Tyler,Moore,1961/05/30,"Martin, Mcknight and Clark",2018/11/10,44,2015,NV,Golf
Alan,Carey,1974/03/31,,2018/07/19,83,1986,NH,Golf
Frank,Price,1962/07/10,Parker Group,2018/09/04,85,2011,TX,Golf
Angela,Christian,1982/08/01,Scott and Sons,2018/07/10,34,2009,AL,Golf
Kathryn,Jones,1961/08/06,Keller Group,2018/08/16,44,1993,NY,Golf
James,Arnold,1983/06/08,Mcdonald Inc,2018/09/02,59,2010,AZ,Golf
Kyle,Lewis,1959/12/16,Bruce Inc,2018/07/28,95,1980,NC,Golf
Anthony,Moore,1964/10/12,"Jackson, Carlson and Contreras",2018/10/15,68,1991,NC,Golf
Arthur,White,1987/05/09,Hunter Ltd,2018/08/16,48,2003,DE,Golf
Tracy,Patel,1969/07/18,Taylor-Alvarez,2018/05/28,41,2018,VT,Golf
Jennifer,Henson,1967/02/25,Parker Group,2018/12/25,72,2018,AR,Golf
Ricardo,Glenn,1989/01/28,"Kelley, Gilbert and Jackson",2018/09/25,39,2013,ID,Golf
Eric,Lloyd,1962/01/27,Taylor-Alvarez,2018/07/15,39,1997,WV,Golf
Sean,Williams,1965/03/13,"Jackson, Carlson and Contreras",2018/02/15,46,1988,NM,Golf
David,Johnson,1964/05/13,Bruce Inc,2018/05/27,67,1977,NY,Golf
Virginia,Cochran,1965/09/15,"Kelley, Gilbert and Jackson",2018/03/26,71,1981,IA,Golf
Megan,Carter,1972/08/22,"Mullen, Huffman and Vasquez",2018/11/15,86,2011,IN,Golf
Danielle,Turner,1982/10/05,"Mullen, Huffman and Vasquez",2018/02/16,37,2005,AK,Golf
Lindsay,Goodwin,1974/05/16,Taylor-Alvarez,2018/04/24,48,2009,AR,Golf
Michael,Hayes,1960/08/18,"Brown, Vasquez and Sanchez",2018/06/30,51,2013,NJ,Golf
Matthew,Campbell,1969/02/06,Williams-Stephenson,2018/07/30,44,2009,NH,Golf
Mia,Robbins,1990/01/02,Parker Group,2018/07/17,99,2014,WY,Golf
Marie,Richardson,1980/05/05,Pearson Group,2018/06/03,76,2011,TN,Golf
Andrew,Jenkins,1959/01/10,Mcdonald Inc,2019/01/03,90,1973,LA,Golf
Miranda,Hernandez,1985/10/13,"Kelley, Gilbert and Jackson",2018/06/15,80,2006,CT,Golf
Sonya,Bell,1961/06/10,Peterson and Sons,2018/11/02,36,2013,DE,Golf
Roy,Wells,1976/07/16,Pearson Group,2018/04/19,60,2005,MI,Golf
Charles,Garcia,1959/09/21,"Brown, Vasquez and Sanchez",2018/02/17,64,1980,HI,Golf
Jill,Norris,1965/08/30,Bruce Inc,2018/07/20,56,1983,VA,Golf
Keith,Novak,1960/11/14,"Jackson, Carlson and Contreras",2018/05/11,97,2002,TX,Golf
Stanley,Williams,1981/05/22,Pearson Group,2018/06/07,88,2008,NY,Golf
Brett,Sanders,1967/11/12,Pearson Group,2018/01/21,91,2009,OR,Golf
Raven,Jenkins,1992/06/25,"Alvarez, Schaefer and Robertson",2018/11/16,73,2014,HI,Golf
Karen,Castaneda,1962/09/15,Bruce Inc,2018/08/07,33,1994,MI,Golf
Sally,Zimmerman,1962/12/09,Scott and Sons,2018/08/01,94,1991,VT,Golf
Justin,Mckee,1988/03/05,"Smith, Torres and Matthews",2018/08/12,66,2011,WV,Golf
Sandra,Torres,1962/01/31,Keller Group,2018/08/31,75,1983,TX,Golf
Barbara,Clark,1965/04/23,Scott and Sons,2018/07/06,83,2014,SD,Golf
Laura,Anthony,1965/11/19,Peterson and Sons,2018/04/03,33,1999,AR,Golf
Mackenzie,Sanders,1996/04/27,"Mullen, Huffman and Vasquez",2018/09/22,88,2016,WY,Golf
Tina,Kane,1969/06/03,"Alvarez, Schaefer and Robertson",2018/04/08,47,2005,WY,Golf
Karen,Stanley,1976/08/07,,2018/03/17,53,1992,OK,Golf
Traci,Bean,1964/01/18,Williams-Stephenson,2018/10/08,84,1985,KY,Golf
Lauren,Taylor,1965/06/06,,2018/10/14,83,2003,LA,Golf
Janice,Flores,1984/10/12,Bruce Inc,2018/09/15,93,2012,WV,Golf
William,Moody,1981/04/01,"Alvarez, Schaefer and Robertson",2018/07/10,63,2016,MS,Golf
Kevin,Shah,1976/06/02,"Martin, Mcknight and Clark",2018/07/22,42,1992,LA,Golf
Ashley,Evans,1970/07/18,"Alvarez, Schaefer and Robertson",2018/02/06,37,1997,SC,Golf
James,Evans,1959/06/03,Taylor-Alvarez,2018/04/01,82,2007,OH,Golf
Shelby,Miles,1964/04/17,"Alvarez, Schaefer and Robertson",2018/02/05,34,1999,MI,Golf
Michael,Williams,1988/11/03,"Brown, Vasquez and Sanchez",2018/09/04,38,2009,MN,Golf
Kristin,Miller,1983/12/07,"Smith, Torres and Matthews",2018/03/16,99,2014,OR,Golf
Jessica,Hughes,1974/08/20,"Hopkins, Barnes and Ward",2018/12/12,84,2003,WV,Golf
Sean,Miller,1977/08/04,Bruce Inc,2018/06/13,35,1995,HI,Golf
Robert,Myers,1973/01/16,"Kelley, Gilbert and Jackson",2018/03/18,37,2008,AK,Golf
Mark,Gutierrez,1979/06/21,Parker Group,2019/01/01,31,2018,IA,Golf
Kelly,Rodriguez,1986/01/09,"Smith, Torres and Matthews",2018/03/06,90,2010,AR,Golf
Holly,Thomas,1965/08/19,Pearson Group,2018/03/16,81,1985,MT,Golf
Mindy,Lee,1959/12/12,Rivera Ltd,2018/04/16,46,1980,OH,Golf
Kimberly,Kirby,1959/06/29,"Martin, Mcknight and Clark",2018/05/27,73,1986,AK,Golf
Jennifer,Diaz,1971/01/07,"Jackson, Carlson and Contreras",2018/07/16,41,2002,KY,Golf
Katie,Winters,1965/07/21,"Martin, Mcknight and Clark",2018/01/28,88,1985,WY,Golf
Lawrence,Campbell,1963/02/14,"Martin, Mcknight and Clark",2018/09/07,63,1987,PA,Golf
Ashley,Hurst,1962/11/23,"Smith, Torres and Matthews",2018/11/15,37,1975,NE,Golf
Mary,Cox,1981/04/24,Hunter Ltd,2018/10/30,55,1995,OH,Golf
Rachael,Wilson,1967/10/12,"Smith, Torres and Matthews",2018/12/07,51,1979,CA,Golf
Steven,Castillo,1960/03/05,Williams-Stephenson,2018/05/17,36,2003,LA,Golf
Sara,Gross,1973/11/23,"Martin, Mcknight and Clark",2018/09/17,76,2002,MI,Golf
Michelle,Peters,1988/07/19,Williams-Stephenson,2018/07/19,74,2018,MN,Golf
Kevin,Figueroa,1970/05/27,Williams-Stephenson,2018/08/01,65,2005,FL,Golf
Marcus,Young,1963/03/25,Peterson and Sons,2018/07/19,53,1999,IL,Golf
Heather,Henderson,1970/10/03,Rivera Ltd,2018/05/27,73,2007,SD,Golf
Christopher,Johnson,1988/02/25,Rivera-Morrow,2018/02/20,66,2013,IL,Golf
Jose,Stanley,1979/12/06,Bruce Inc,2018/02/16,74,2005,AL,Golf
Donald,Williams,1963/01/11,Hunter Ltd,2018/12/24,74,1997,NC,Golf
Kelly,Cole,1993/11/10,"Smith, Torres and Matthews",2018/12/29,48,2007,LA,Golf
Brandon,Grant,1972/11/16,Rivera Ltd,2018/10/29,71,1994,IL,Golf
Daniel,Thomas,1981/03/04,"Jackson, Carlson and Contreras",2018/04/12,69,2013,VT,Golf
Leslie,Johnson,1965/06/08,Pearson Group,2018/04/03,38,2000,SD,Golf
Valerie,Mclaughlin,1962/01/25,Rivera-Morrow,2018/04/09,39,1995,MO,Golf
Anthony,Cook,1965/07/13,Rivera Ltd,2018/06/09,71,1977,AZ,Golf
Joseph,Duncan,1967/04/27,Keller Group,2018/10/21,54,1998,HI,Golf
