first_name,last_name,dob,company_name,last_active,score,member_since,state,source,errors
Amanda,Freeman,1974/11/13,Peterson and Sons,2018/04/17,42,1975,OK,Golf,Suspicious Join Age
Sharon,Miller,1992/07/10,Keller Group,2018/09/26,70,2001,IN,Golf,Suspicious Join Age
Tiffany,Robinson,1987/08/29,Taylor-Alvarez,2018/05/23,43,1972,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Raymond,Norman,1965/08/03,"Mullen, Huffman and Vasquez",2018/07/22,47,1973,NJ,Golf,Suspicious Join Age
Gerald,Wilson,1964/12/11,"Brown, Vasquez and Sanchez",2018/02/02,68,1971,MS,Golf,Suspicious Join Age
Jacob,Robinson,1963/01/08,"Alvarez, Schaefer and Robertson",2018/03/23,67,1971,KY,Golf,Suspicious Join Age
Stephanie,Chan,1978/02/05,Bruce Inc,2018/08/30,59,1974,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Matthew,Snyder,1992/03/22,"Martin, Mcknight and Clark",2018/04/17,92,1983,MO,Golf,"Member Since Before DOB,Suspicious Join Age"
Thomas,Carrillo,1982/03/24,"Hopkins, Barnes and Ward",2018/02/23,79,1972,CO,Golf,"Member Since Before DOB,Suspicious Join Age"
Linda,Greene,1984/10/28,Pearson Group,2018/02/28,80,1984,PA,Golf,Suspicious Join Age
Amy,Le,1981/01/19,Williams-Stephenson,2018/09/11,51,1970,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Alexander,Wells,1979/01/14,"Kelley, Gilbert and Jackson",2018/10/02,70,1979,ME,Golf,Suspicious Join Age
John,Scott,1967/08/02,Parker Group,2018/08/11,71,1971,IA,Golf,Suspicious Join Age
Ashlee,Ellison,1987/10/02,Mcdonald Inc,2018/05/31,60,1994,IN,Golf,Suspicious Join Age
Timothy,Petersen,1993/07/24,"Jackson, Carlson and Contreras",2018/02/25,50,1973,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Janice,Reed,1990/07/01,"Mullen, Huffman and Vasquez",2018/03/26,40,1972,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Amy,Ford,1990/05/23,"Jackson, Carlson and Contreras",2018/07/29,50,1979,OR,Golf,"Member Since Before DOB,Suspicious Join Age"
David,Henderson,1987/08/05,Hunter Ltd,2018/10/08,44,1992,CO,Golf,Suspicious Join Age
David,Mckenzie,1995/01/14,"Hopkins, Barnes and Ward",2018/10/30,85,1975,WA,Golf,"Member Since Before DOB,Suspicious Join Age"
April,Melton,1978/07/05,Taylor-Alvarez,2018/01/29,77,1973,VA,Golf,"Member Since Before DOB,Suspicious Join Age"
Alexandra,Burke,1997/09/25,Williams-Stephenson,2018/06/14,60,2002,MT,Golf,Suspicious Join Age
Carrie,Smith,1984/01/20,Pearson Group,2018/09/10,88,1986,TX,Golf,Suspicious Join Age
Brandon,Stone,1993/10/21,Keller Group,2018/07/04,68,1984,MI,Golf,"Member Since Before DOB,Suspicious Join Age"
Robert,Cohen,1995/04/08,Pearson Group,2018/10/10,75,2005,OH,Golf,Suspicious Join Age
John,Richards,1974/04/04,Taylor-Alvarez,2018/06/11,61,1985,DC,Golf,Suspicious Join Age
James,Castillo,1979/05/26,"Jackson, Carlson and Contreras",2018/11/20,51,1987,MI,Golf,Suspicious Join Age
Kayla,Murillo,1973/10/08,,2018/12/04,89,1970,AR,Golf,"Member Since Before DOB,Suspicious Join Age"
Sheila,Smith,1993/08/23,Rivera-Morrow,2018/09/07,91,1976,DE,Golf,"Member Since Before DOB,Suspicious Join Age"
Donald,Wolf,1981/08/25,Pearson Group,2018/04/30,59,1973,OK,Golf,"Member Since Before DOB,Suspicious Join Age"
Amy,Martin,1993/09/21,"Brown, Vasquez and Sanchez",2018/02/24,78,1995,LA,Golf,Suspicious Join Age
David,Harrison,1997/10/12,Pearson Group,2018/08/29,31,1996,NJ,Golf,"Member Since Before DOB,Suspicious Join Age"
Lydia,Santana,1987/04/28,"Kelley, Gilbert and Jackson",2018/10/28,72,1997,MS,Golf,Suspicious Join Age
William,Weber,1972/02/26,Keller Group,2018/07/02,98,1981,AL,Golf,Suspicious Join Age
Patrick,Hill,1973/08/02,Rivera Ltd,2018/06/09,33,1981,SC,Golf,Suspicious Join Age
William,Gibson,1998/07/25,"Jackson, Carlson and Contreras",2018/03/01,78,2005,ID,Golf,Suspicious Join Age
Ronald,Ramos,1978/10/09,"Brown, Vasquez and Sanchez",2018/02/14,79,1981,MO,Golf,Suspicious Join Age
Nicholas,Jensen,1986/03/30,Rivera Ltd,2018/02/20,66,1979,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Linda,Rodriguez,1985/05/16,Peterson and Sons,2018/05/04,41,1980,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Roberto,Oneal,1995/03/20,"Martin, Mcknight and Clark",2018/06/26,64,1992,GA,Golf,"Member Since Before DOB,Suspicious Join Age"
Kaylee,Henry,1960/11/30,"Hopkins, Barnes and Ward",2018/05/12,50,1971,WY,Golf,Suspicious Join Age
Valerie,Madden,1998/10/08,Mcdonald Inc,2018/05/30,46,1974,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Lauren,Flowers,1983/09/13,"Kelley, Gilbert and Jackson",2018/07/17,85,1989,TX,Golf,Suspicious Join Age
Travis,Baldwin,1997/10/03,"Jackson, Carlson and Contreras",2018/05/04,50,2007,SD,Golf,Suspicious Join Age
Renee,Perez,1998/03/31,"Hopkins, Barnes and Ward",2018/01/20,56,2005,IL,Golf,Suspicious Join Age
April,Ingram,1989/05/09,Williams-Stephenson,2018/08/22,99,1972,TX,Golf,"Member Since Before DOB,Suspicious Join Age"
Kevin,Madden,1991/12/26,Taylor-Alvarez,2018/05/24,88,1972,NM,Golf,"Member Since Before DOB,Suspicious Join Age"
Melinda,Reid,1993/10/28,"Jackson, Carlson and Contreras",2019/01/06,90,1971,OR,Golf,"Member Since Before DOB,Suspicious Join Age"
Sarah,Myers,1988/05/10,Bruce Inc,2018/10/24,58,1992,OR,Golf,Suspicious Join Age
Martin,Haynes,1973/04/29,Keller Group,2018/01/18,33,1974,WA,Golf,Suspicious Join Age
Victor,Blair,1989/05/04,Williams-Stephenson,2018/12/26,72,1988,GA,Golf,"Member Since Before DOB,Suspicious Join Age"
Gary,Brown,1986/07/15,"Brown, Vasquez and Sanchez",2018/03/31,42,1977,MA,Golf,"Member Since Before DOB,Suspicious Join Age"
Sheena,Mendoza,1995/03/29,Scott and Sons,2018/04/03,82,2004,ND,Golf,Suspicious Join Age
Brian,Anderson,1978/05/13,"Kelley, Gilbert and Jackson",2018/08/30,96,1972,MN,Golf,"Member Since Before DOB,Suspicious Join Age"
Valerie,Mendoza,1998/10/28,Mcdonald Inc,2018/01/15,56,1974,DE,Golf,"Member Since Before DOB,Suspicious Join Age"
Michael,Villegas,1980/08/24,Rivera Ltd,2018/05/04,64,1972,CT,Golf,"Member Since Before DOB,Suspicious Join Age"
Rebecca,Castillo,1991/01/13,"Jackson, Carlson and Contreras",2018/12/30,49,1975,TX,Golf,"Member Since Before DOB,Suspicious Join Age"
Timothy,Garcia,1998/02/09,Parker Group,2018/01/10,63,1999,LA,Golf,Suspicious Join Age
Sarah,Olson,1965/02/17,"Martin, Mcknight and Clark",2018/04/18,98,1976,TN,Golf,Suspicious Join Age
Nichole,Flowers,1971/01/26,"Alvarez, Schaefer and Robertson",2018/11/30,97,1982,WI,Golf,Suspicious Join Age
Michelle,Sanford,1972/05/01,Keller Group,2018/02/23,38,1970,TN,Golf,"Member Since Before DOB,Suspicious Join Age"
Holly,Hamilton,1991/11/10,Parker Group,2018/03/19,77,1982,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Joshua,Huffman,1967/05/08,Peterson and Sons,2018/06/26,39,1973,VT,Golf,Suspicious Join Age
Julie,Austin,1974/01/20,Parker Group,2018/11/12,42,1973,KS,Golf,"Member Since Before DOB,Suspicious Join Age"
Latasha,Mccoy,1997/10/03,"Brown, Vasquez and Sanchez",2018/04/28,58,1982,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Megan,Wagner,1975/04/06,Peterson and Sons,2018/12/21,62,1975,VT,Golf,Suspicious Join Age
William,Martin,1990/08/07,"Brown, Vasquez and Sanchez",2018/12/17,31,1971,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Matthew,Jenkins,1987/05/11,Rivera-Morrow,2018/01/11,72,1993,PA,Golf,Suspicious Join Age
Amanda,Ward,1997/11/13,Bruce Inc,2018/04/27,83,1977,WI,Golf,"Member Since Before DOB,Suspicious Join Age"
Adam,Long,1967/09/10,Rivera Ltd,2018/04/19,91,1978,MT,Golf,Suspicious Join Age
Meghan,Lambert,1974/07/17,"Alvarez, Schaefer and Robertson",2018/06/19,75,1975,HI,Golf,Suspicious Join Age
Karen,Morales,1994/12/22,"Hopkins, Barnes and Ward",2019/01/04,92,1978,AK,Golf,"Member Since Before DOB,Suspicious Join Age"
Gloria,Bryant,1992/06/05,Hunter Ltd,2018/01/20,50,2000,FL,Golf,Suspicious Join Age
Lori,Smith,1976/10/16,"Mullen, Huffman and Vasquez",2018/05/03,32,1978,MD,Golf,Suspicious Join Age
Jeffery,Blankenship,1993/03/27,Parker Group,2018/07/11,52,1977,VA,Golf,"Member Since Before DOB,Suspicious Join Age"
Michael,Wilson,1996/12/23,Peterson and Sons,2018/02/09,76,1970,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Joshua,Mcdaniel,1987/05/15,,2018/03/23,58,1985,OK,Golf,"Member Since Before DOB,Suspicious Join Age"
David,Owens,1991/04/04,Keller Group,2018/09/26,34,2001,AL,Golf,Suspicious Join Age
Daniel,Lara,1977/03/29,Rivera Ltd,2018/07/18,96,1984,KY,Golf,Suspicious Join Age
Jamie,Johnson,1989/08/21,"Martin, Mcknight and Clark",2018/06/24,58,1998,SC,Golf,Suspicious Join Age
Ashley,Schmidt,1981/02/24,Hunter Ltd,2018/04/28,51,1972,IN,Golf,"Member Since Before DOB,Suspicious Join Age"
Holly,Cervantes,1991/12/20,"Smith, Torres and Matthews",2018/11/26,88,2001,NC,Golf,Suspicious Join Age
Roger,Edwards,1965/11/17,"Mullen, Huffman and Vasquez",2018/06/14,40,1975,UT,Golf,Suspicious Join Age
Randy,Howell,1988/05/07,"Smith, Torres and Matthews",2018/09/07,91,1977,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Bonnie,Jones,1996/04/09,,2018/11/18,65,2000,NV,Golf,Suspicious Join Age
Mary,Baker,1994/09/06,Mcdonald Inc,2018/10/04,79,1994,AK,Golf,Suspicious Join Age
Logan,Shaw,1983/06/22,Rivera-Morrow,2018/09/26,49,1991,NH,Golf,Suspicious Join Age
Brittney,Clark,1974/08/24,Mcdonald Inc,2018/11/29,57,1972,KY,Golf,"Member Since Before DOB,Suspicious Join Age"
Tracy,Todd,1998/05/03,"Smith, Torres and Matthews",2018/04/05,44,1988,TN,Golf,"Member Since Before DOB,Suspicious Join Age"
Jennifer,Mcconnell,1991/05/05,Peterson and Sons,2018/02/03,40,2002,NM,Golf,Suspicious Join Age
Brittney,Morgan,1978/03/29,Parker Group,2018/12/27,79,1983,NH,Golf,Suspicious Join Age
Stacy,Horn,1980/04/23,"Alvarez, Schaefer and Robertson",2018/02/14,45,1970,MO,Golf,"Member Since Before DOB,Suspicious Join Age"
Jennifer,Beck,1994/12/31,"Brown, Vasquez and Sanchez",2018/12/24,53,1973,NV,Golf,"Member Since Before DOB,Suspicious Join Age"
Scott,Cunningham,1990/08/24,Mcdonald Inc,2018/01/21,72,1970,AZ,Golf,"Member Since Before DOB,Suspicious Join Age"
Bruce,Ward,1982/10/04,"Martin, Mcknight and Clark",2018/01/22,58,1970,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Stacey,Hogan,1994/07/16,Parker Group,2018/08/27,71,1984,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Shawn,Warner,1996/01/28,"Smith, Torres and Matthews",2018/10/11,79,1983,NY,Golf,"Member Since Before DOB,Suspicious Join Age"
Sarah,Mcclure,1979/03/05,Bruce Inc,2018/03/04,32,1983,DC,Golf,Suspicious Join Age
Kim,Holloway,1993/05/17,Bruce Inc,2018/09/21,35,1974,SD,Golf,"Member Since Before DOB,Suspicious Join Age"
Gabriel,Soto,1978/12/06,Scott and Sons,2018/07/06,94,1971,NM,Golf,"Member Since Before DOB,Suspicious Join Age"
Lisa,Duncan,1996/04/05,Williams-Stephenson,2018/04/02,68,1988,MT,Golf,"Member Since Before DOB,Suspicious Join Age"
Zachary,Nelson,1992/02/25,Bruce Inc,2018/02/24,72,1996,HI,Golf,Suspicious Join Age
Deborah,Brown,1987/06/02,,2018/11/25,97,1991,NV,Golf,Suspicious Join Age
Tiffany,Craig,1971/12/13,"Brown, Vasquez and Sanchez",2018/04/15,57,1976,ID,Golf,Suspicious Join Age
Kerry,Graham,1991/06/25,Bruce Inc,2018/11/16,99,1984,SD,Golf,"Member Since Before DOB,Suspicious Join Age"
Randy,James,1994/12/25,"Brown, Vasquez and Sanchez",2018/03/15,41,1973,OH,Golf,"Member Since Before DOB,Suspicious Join Age"
James,Wells,1996/10/07,Rivera-Morrow,2018/05/16,95,2003,DE,Golf,Suspicious Join Age
Felicia,Lopez,1985/10/02,Peterson and Sons,2018/10/19,53,1971,TX,Golf,"Member Since Before DOB,Suspicious Join Age"
Cody,Burns,1989/07/26,Williams-Stephenson,2018/05/13,89,1993,MO,Golf,Suspicious Join Age
Cheryl,Benton,1994/02/13,Hunter Ltd,2018/12/24,72,1980,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Wendy,Henry,1993/08/27,Rivera Ltd,2018/05/24,43,1977,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Laura,Burns,1997/04/07,Mcdonald Inc,2018/07/16,82,1976,NY,Golf,"Member Since Before DOB,Suspicious Join Age"
Austin,White,1969/10/21,"Smith, Torres and Matthews",2018/03/04,94,1979,AZ,Golf,Suspicious Join Age
Chad,Patel,1996/08/15,"Alvarez, Schaefer and Robertson",2018/02/06,48,1970,CO,Golf,"Member Since Before DOB,Suspicious Join Age"
Jackie,Jackson,1987/03/25,"Mullen, Huffman and Vasquez",2018/02/15,66,1992,NV,Golf,Suspicious Join Age
Kenneth,Stewart,1984/08/30,Hunter Ltd,2018/10/16,44,1989,DC,Golf,Suspicious Join Age
Phillip,Wolf,1988/12/06,Hunter Ltd,2018/11/22,66,1979,TN,Golf,"Member Since Before DOB,Suspicious Join Age"
Stacy,Farrell,1997/10/23,Rivera Ltd,2018/12/11,67,1982,IL,Golf,"Member Since Before DOB,Suspicious Join Age"
Adrian,Livingston,1990/06/08,Mcdonald Inc,2018/06/17,89,1999,KS,Golf,Suspicious Join Age
Nicole,Bowen,1997/11/12,Bruce Inc,2018/11/17,79,1974,OH,Golf,"Member Since Before DOB,Suspicious Join Age"
Tammy,Fuller,1986/05/22,"Kelley, Gilbert and Jackson",2018/01/18,82,1997,MI,Golf,Suspicious Join Age
Sarah,Brown,1986/10/30,,2018/10/09,46,1975,VT,Golf,"Member Since Before DOB,Suspicious Join Age"
William,Jackson,1968/12/27,"Smith, Torres and Matthews",2018/08/02,79,1970,SC,Golf,Suspicious Join Age
Marilyn,Carter,1993/02/27,Williams-Stephenson,2018/08/28,31,1993,WI,Golf,Suspicious Join Age
Robert,Jones,1983/09/18,"Brown, Vasquez and Sanchez",2018/03/30,60,1991,ID,Golf,Suspicious Join Age
Jessica,Stevens,1984/03/25,Pearson Group,2018/05/04,31,1986,OR,Golf,Suspicious Join Age
Peter,Price,1984/09/06,Rivera-Morrow,2018/06/07,72,1974,IL,Golf,"Member Since Before DOB,Suspicious Join Age"
Linda,Willis,1978/03/21,Keller Group,2018/03/24,93,1982,VA,Golf,Suspicious Join Age
William,Collins,1987/09/10,Rivera-Morrow,2018/05/20,39,1972,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
John,Wood,1983/03/22,"Brown, Vasquez and Sanchez",2018/08/07,64,1983,AR,Golf,Suspicious Join Age
Angela,Coleman,1980/05/18,Keller Group,2018/12/16,90,1973,AL,Golf,"Member Since Before DOB,Suspicious Join Age"
John,Cox,1969/11/24,"Smith, Torres and Matthews",2018/12/10,97,1971,ID,Golf,Suspicious Join Age
Brittney,Miller,1994/10/16,Parker Group,2018/12/08,72,1974,MN,Golf,"Member Since Before DOB,Suspicious Join Age"
Jared,Thomas,1975/08/21,Parker Group,2018/08/21,76,1972,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
David,Doyle,1972/01/07,Peterson and Sons,2018/11/20,53,1982,ID,Golf,Suspicious Join Age
Michelle,Lee,1972/12/14,"Jackson, Carlson and Contreras",2018/03/06,41,1983,FL,Golf,Suspicious Join Age
Robert,Lynn,1995/03/11,"Alvarez, Schaefer and Robertson",2018/04/12,58,1994,DC,Golf,"Member Since Before DOB,Suspicious Join Age"
Emily,Estes,1994/03/22,Pearson Group,2018/09/24,61,1974,NJ,Golf,"Member Since Before DOB,Suspicious Join Age"
Elaine,Hicks,1990/02/13,Keller Group,2018/03/25,69,1981,RI,Golf,"Member Since Before DOB,Suspicious Join Age"
Christine,Ray,1993/06/11,"Hopkins, Barnes and Ward",2018/11/24,66,1986,ND,Golf,"Member Since Before DOB,Suspicious Join Age"
James,Ball,1986/04/26,"Martin, Mcknight and Clark",2018/01/30,81,1979,KY,Golf,"Member Since Before DOB,Suspicious Join Age"
Victor,Stein,1994/07/10,"Alvarez, Schaefer and Robertson",2018/02/02,93,2003,SD,Golf,Suspicious Join Age
Tyler,Kelly,1998/06/02,"Brown, Vasquez and Sanchez",2018/08/20,62,1999,OH,Golf,Suspicious Join Age
Heather,Short,1982/12/16,Pearson Group,2018/12/29,99,1988,KS,Golf,Suspicious Join Age
Monica,Mueller,1990/04/19,"Kelley, Gilbert and Jackson",2018/08/27,61,1977,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Marcus,Rivera,1997/03/17,"Martin, Mcknight and Clark",2018/08/23,71,1998,SD,Golf,Suspicious Join Age
Raymond,Dickson,1992/03/29,"Kelley, Gilbert and Jackson",2018/07/28,69,1996,SD,Golf,Suspicious Join Age
Juan,Hernandez,1987/01/29,Rivera Ltd,2018/02/17,85,1983,UT,Golf,"Member Since Before DOB,Suspicious Join Age"
Nancy,Holden,1996/11/14,"Alvarez, Schaefer and Robertson",2018/04/11,78,1996,KY,Golf,Suspicious Join Age
Kenneth,Johnson,1998/01/02,"Alvarez, Schaefer and Robertson",2018/12/27,54,1998,AZ,Golf,Suspicious Join Age
Bryan,Brown,1989/09/29,Rivera Ltd,2018/10/17,43,1984,OH,Golf,"Member Since Before DOB,Suspicious Join Age"
Barbara,Johnson,1993/06/02,"Brown, Vasquez and Sanchez",2018/01/16,38,1987,MD,Golf,"Member Since Before DOB,Suspicious Join Age"
Laura,Gibson,1996/07/20,"Smith, Torres and Matthews",2018/11/21,50,1992,CO,Golf,"Member Since Before DOB,Suspicious Join Age"
Kevin,Carpenter,1981/07/29,,2018/09/06,83,1978,NJ,Golf,"Member Since Before DOB,Suspicious Join Age"
Michael,Randall,1976/01/14,Pearson Group,2018/12/05,81,1970,CT,Golf,"Member Since Before DOB,Suspicious Join Age"
Mary,Cox,1991/07/11,,2018/06/24,85,1972,WY,Golf,"Member Since Before DOB,Suspicious Join Age"
Janice,Vaughn,1993/11/12,Pearson Group,2018/06/14,69,2000,WI,Golf,Suspicious Join Age
Andrew,Sullivan,1982/10/10,Parker Group,2018/02/12,55,1990,SC,Golf,Suspicious Join Age
Mia,Davis,1989/09/04,Peterson and Sons,2018/10/07,61,1994,NV,Golf,Suspicious Join Age
Lawrence,Hamilton,1993/06/01,Parker Group,2018/03/03,73,1976,MS,Golf,"Member Since Before DOB,Suspicious Join Age"
Debra,Byrd,1980/07/05,"Kelley, Gilbert and Jackson",2018/05/15,51,1980,RI,Golf,Suspicious Join Age
Lisa,Carter,1969/11/26,Keller Group,2018/07/04,75,1971,SC,Golf,Suspicious Join Age
Javier,Moran,1994/10/20,Scott and Sons,2018/08/27,83,1993,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Kenneth,Miller,1992/09/13,"Smith, Torres and Matthews",2018/04/08,39,2001,SD,Golf,Suspicious Join Age
